Beskatningstype;ISIN
Kapitalindkomst;IE00BDDRF924
Kapitalindkomst;IE00BJQTJ848
Kapitalindkomst;IE00BDDRF700
Kapitalindkomst;IE00BFYN8Y92
Kapitalindkomst;IE00BG5J1M21
Aktieindkomst;IE00BF4G6Y48
Aktieindkomst;IE00BF4G7183
Aktieindkomst;IE00BF4G6Z54
Aktieindkomst;IE00BF4G7076
Aktieindkomst;LU1781541252
Aktieindkomst;LU1781541179
Aktieindkomst;LU1781540957
Aktieindkomst;LU0908500753
Aktieindkomst;FR0010361683
Aktieindkomst;FR0010524777
Kapitalindkomst;LU1829219127
Kapitalindkomst;LU1563454823
Aktieindkomst;LU1841731745
Aktieindkomst;LU1923627092
Aktieindkomst;LU1829221024
Aktieindkomst;LU0832436512
Aktieindkomst;LU0635178014
Aktieindkomst;IE00BGV5VN51
Aktieindkomst;LU0274211480
Aktieindkomst;LU0380865021
Kapitalindkomst;LU0838780707
Kapitalindkomst;LU0292109856
Kapitalindkomst;LU0322252924
Aktieindkomst;IE00BGV5VR99
Kapitalindkomst;LU0322250712
Kapitalindkomst;LU0322252171
Aktieindkomst;IE00BGHQ0G80
Kapitalindkomst;LU0592217524
Kapitalindkomst;LU0292109344
Aktieindkomst;LU0514695690
Aktieindkomst;IE00BG370F43
Kapitalindkomst;LU0292107645
Aktieindkomst;IE00BFMNHK08
Aktieindkomst;LU0322253906
Aktieindkomst;LU0274209237
Kapitalindkomst;LU0476289623
Aktieindkomst;IE00BG36TC12
Kapitalindkomst;LU0292100046
Aktieindkomst;IE00B9MRHC27
Kapitalindkomst;LU0322252502
Aktieindkomst;IE00BFMNPS42
Kapitalindkomst;LU0274210672
Aktieindkomst;IE00BM67HN09
Aktieindkomst;IE00BZ02LR44
Aktieindkomst;IE00BM67HM91
Aktieindkomst;IE00BM67HK77
Aktieindkomst;IE00BM67HT60
Aktieindkomst;IE00BM67HS53
Kapitalindkomst;LU0274208692
Aktieindkomst;IE00BJ0KDQ92
Aktieindkomst;IE00BL25JM42
Aktieindkomst;LU0839027447
Kapitalindkomst;LU0490618542
Kapitalindkomst;LU0322253229
Kapitalindkomst;LU0292103651
Aktieindkomst;LU0328475792
Aktieindkomst;IE00BYZK4669
Aktieindkomst;IE00BYZK4552
Aktieindkomst;IE0005042456
Aktieindkomst;IE00BKM4GZ66
Aktieindkomst;IE00B4K48X80
Aktieindkomst;IE00B4L5YX21
Aktieindkomst;IE00B52MJY50
Aktieindkomst;IE00B4L5Y983
Aktieindkomst;IE00B5BMR087
Aktieindkomst;IE0031442068
Aktieindkomst;DE0005933931
Aktieindkomst;IE00BG0J4C88
Aktieindkomst;IE00BYZK4883
Aktieindkomst;IE00B86MWN23
Aktieindkomst;IE00B8FHGS14
Aktieindkomst;IE00B6SPMN59
Aktieindkomst;IE00BGL86Z12
Aktieindkomst;IE00B1XNHC34
Kapitalindkomst;IE00B7J7TB45
Aktieindkomst;IE00B1TXK627
Aktieindkomst;IE00BYZK4776
Aktieindkomst;IE00BJ5JPG56
Aktieindkomst;IE00BKM4H312
Aktieindkomst;IE00BYX2JD69
Aktieindkomst;IE00BF4RFH31
Kapitalindkomst;DE000A0N62G0
Kapitalindkomst;DE000A0N62F2
Kapitalindkomst;DE000A0N62H8
Kapitalindkomst;DE000A0N62E5
Kapitalindkomst;DE000A0N62D7
Kapitalindkomst;DE000A1RX996
Kapitalindkomst;DE000A1N49P6
Kapitalindkomst;DE000A0KRJX4
